Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
158,tt0174397,2020-09-30,2020-09-30,,Hey Hey It's Saturday,https://www.imdb.com/title/tt0174397/,tvSeries,7.3,120,1971,"Comedy, Fantasy, Music",267,1971-10-09,
159,tt0302088,2020-09-30,2020-09-30,,Dalli Dalli,https://www.imdb.com/title/tt0302088/,tvSeries,7.3,90,1971,Game-Show,120,1971-05-13,
160,tt0066722,2020-09-30,2020-09-30,,"Upstairs, Downstairs",https://www.imdb.com/title/tt0066722/,tvSeries,8.4,60,1971,Drama,3295,1971-10-10,
161,tt0066721,2020-09-30,2020-09-30,,The Two Ronnies,https://www.imdb.com/title/tt0066721/,tvSeries,7.8,,1971,Comedy,3393,1971-04-10,
162,tt0066672,2020-09-30,2020-09-30,,Jason King,https://www.imdb.com/title/tt0066672/,tvSeries,6.9,60,1971,"Action, Adventure",311,1971-09-15,
163,tt0066685,2020-09-30,2020-09-30,,McMillan & Wife,https://www.imdb.com/title/tt0066685/,tvSeries,7.2,120,1971,"Crime, Drama, Mystery, Thriller",2690,1971-09-17,
164,tt0066626,2020-09-30,2020-09-30,,All in the Family,https://www.imdb.com/title/tt0066626/,tvSeries,8.4,30,1971,"Comedy, Drama",17151,1971-01-12,
165,tt0065279,2020-09-30,2020-09-30,,Budgie,https://www.imdb.com/title/tt0065279/,tvSeries,7.6,60,1971,Drama,251,1971-04-09,
166,tt0066636,2020-09-30,2020-09-30,,Cannon,https://www.imdb.com/title/tt0066636/,tvSeries,6.8,60,1971,"Action, Crime, Drama, Mystery",3324,1971-09-14,
167,tt0066633,2020-09-30,2020-09-30,,Bless This House,https://www.imdb.com/title/tt0066633/,tvSeries,6.9,30,1971,Comedy,1002,1971-02-02,
168,tt0168358,2020-09-30,2020-09-30,,Parkinson,https://www.imdb.com/title/tt0168358/,tvSeries,7.3,50,1971,"Comedy, Music, Talk-Show",769,1971-06-19,
169,tt0067677,2020-09-30,2020-09-30,,Rio das Mortes,https://www.imdb.com/title/tt0067677/,tvMovie,6.2,84,1971,Comedy,695,1971-02-15,Rainer Werner Fassbinder
170,tt0161194,2020-09-30,2020-09-30,,Soul Train,https://www.imdb.com/title/tt0161194/,tvSeries,8.0,60,1971,"Music, Talk-Show",603,1971-10-02,
171,tt1466074,2020-09-30,2020-09-30,,Columbo,https://www.imdb.com/title/tt1466074/,tvSeries,8.3,100,1971,"Crime, Drama, Mystery, Thriller",36548,1971-03-01,
172,tt0074035,2020-09-30,2020-09-30,,The Onedin Line,https://www.imdb.com/title/tt0074035/,tvSeries,7.6,50,1971,"Adventure, Drama, Romance",1028,1971-10-15,
173,tt0066701,2020-09-30,2020-09-30,,The Persuaders!,https://www.imdb.com/title/tt0066701/,tvSeries,8.0,60,1971,"Action, Adventure, Comedy",5507,1971-09-17,
174,tt0209122,2020-09-30,2020-09-30,,La maison des bois,https://www.imdb.com/title/tt0209122/,tvMiniSeries,8.3,360,1971,"Comedy, Drama",249,1971-09-11,
175,tt0068149,2020-09-30,2020-09-30,,The Waltons,https://www.imdb.com/title/tt0068149/,tvSeries,7.6,60,1972,"Drama, Family, Romance",8139,1972-09-14,
176,tt0068069,2020-09-30,2020-09-30,,Emmerdale Farm,https://www.imdb.com/title/tt0068069/,tvSeries,4.8,30,1972,"Drama, Romance",3305,1972-10-16,
177,tt0068093,2020-09-30,2020-09-30,,Kung Fu,https://www.imdb.com/title/tt0068093/,tvSeries,7.6,60,1972,"Adventure, Drama, Western",6446,1972-02-22,
178,tt0068096,2020-09-30,2020-09-30,,Love Thy Neighbour,https://www.imdb.com/title/tt0068096/,tvSeries,7.0,30,1972,Comedy,703,1972-04-13,
179,tt0068059,2020-09-30,2020-09-30,,Colditz,https://www.imdb.com/title/tt0068059/,tvSeries,8.4,50,1972,"Drama, History, War",934,1972-10-19,
180,tt0069316,2020-09-30,2020-09-30,,The Stone Tape,https://www.imdb.com/title/tt0069316/,tvMovie,6.4,90,1972,"Fantasy, Horror, Mystery, Sci-Fi, Thriller",1624,1972-12-25,Peter Sasdy
181,tt0068098,2020-09-30,2020-09-30,,M*A*S*H,https://www.imdb.com/title/tt0068098/,tvSeries,8.4,25,1972,"Comedy, Drama, War",58609,1972-09-17,
182,tt0068040,2020-09-30,2020-09-30,,Are You Being Served?,https://www.imdb.com/title/tt0068040/,tvSeries,8.0,28,1972,Comedy,8556,1972-09-08,
183,tt0140733,2020-09-30,2020-09-30,,Crown Court,https://www.imdb.com/title/tt0140733/,tvSeries,7.2,30,1972,Drama,250,1972-10-11,
184,tt0068103,2020-09-30,2020-09-30,,Maude,https://www.imdb.com/title/tt0068103/,tvSeries,7.3,30,1972,Comedy,4362,1972-09-12,
185,tt0068122,2020-09-30,2020-09-30,,The Protectors,https://www.imdb.com/title/tt0068122/,tvSeries,6.7,30,1972,"Adventure, Crime",526,1972-09-29,
186,tt0217142,2020-09-30,2020-09-30,,A Warning to the Curious,https://www.imdb.com/title/tt0217142/,tvMovie,7.3,50,1972,"Drama, Horror, Mystery",1382,1972-12-24,Lawrence Gordon Clark
187,tt0069628,2020-09-30,2020-09-30,,Semnadtsat mgnoveniy vesny,https://www.imdb.com/title/tt0069628/,tvMiniSeries,8.8,69,1973,"Drama, History, War",4617,1973-08-11,
188,tt0069599,2020-09-30,2020-09-30,,Kojak,https://www.imdb.com/title/tt0069599/,tvSeries,7.1,60,1973,"Action, Crime, Drama, Mystery, Thriller",8121,1973-10-24,
189,tt0211195,2020-09-30,2020-09-30,,An American Family,https://www.imdb.com/title/tt0211195/,tvSeries,7.4,720,1973,"Documentary, Music, Reality-TV",247,1973-01-11,
190,tt0069634,2020-09-30,2020-09-30,,Some Mothers Do 'Ave 'Em,https://www.imdb.com/title/tt0069634/,tvSeries,7.6,30,1973,Comedy,3852,1973-02-15,
191,tt0069647,2020-09-30,2020-09-30,,The Tomorrow People,https://www.imdb.com/title/tt0069647/,tvSeries,7.2,30,1973,"Drama, Fantasy, Sci-Fi",765,1973-04-30,
192,tt0071075,2020-09-30,2020-09-30,,The World at War,https://www.imdb.com/title/tt0071075/,tvSeries,9.2,52,1973,"Documentary, History, War",26255,1973-09-14,
193,tt0074004,2020-09-30,2020-09-30,,Ein Herz und eine Seele,https://www.imdb.com/title/tt0074004/,tvSeries,8.5,45,1973,Comedy,815,1973-01-15,
194,tt0227975,2020-09-30,2020-09-30,,Suikoden,https://www.imdb.com/title/tt0227975/,tvSeries,8.1,45,1973,"Action, Drama, History",663,1973-10-02,
195,tt0070904,2020-09-30,2020-09-30,,Welt am Draht,https://www.imdb.com/title/tt0070904/,tvMiniSeries,7.7,212,1973,"Crime, Mystery, Sci-Fi",6341,1973-10-14,
196,tt0344663,2020-09-30,2020-09-30,,Je später der Abend...,https://www.imdb.com/title/tt0344663/,tvSeries,6.2,60,1973,Talk-Show,20,1973-03-04,
197,tt0070644,2020-09-30,2020-09-30,,Scener ur ett äktenskap,https://www.imdb.com/title/tt0070644/,tvMiniSeries,8.5,283,1973,Drama,16727,1973-04-11,
198,tt0069557,2020-09-30,2020-09-30,,Barnaby Jones,https://www.imdb.com/title/tt0069557/,tvSeries,6.9,60,1973,"Crime, Drama, Mystery, Thriller",2722,1973-01-28,
199,tt0069602,2020-09-30,2020-09-30,,Last of the Summer Wine,https://www.imdb.com/title/tt0069602/,tvSeries,7.1,30,1973,Comedy,3325,1973-01-04,
200,tt0068035,2020-09-30,2020-09-30,,Am laufenden Band,https://www.imdb.com/title/tt0068035/,tvSeries,6.8,100,1974,Game-Show,81,1974-04-27,
201,tt0071003,2020-09-30,2020-09-30,,Kolchak: The Night Stalker,https://www.imdb.com/title/tt0071003/,tvSeries,8.4,51,1974,"Horror, Mystery, Thriller",5534,1974-09-13,
202,tt0071033,2020-09-30,2020-09-30,,Planet of the Apes,https://www.imdb.com/title/tt0071033/,tvSeries,7.1,47,1974,"Adventure, Sci-Fi, Thriller",4965,1974-09-13,
203,tt0070992,2020-09-30,2020-09-30,,Happy Days,https://www.imdb.com/title/tt0070992/,tvSeries,7.4,30,1974,"Comedy, Family, Music",19433,1974-01-15,
204,tt0070991,2020-09-30,2020-09-30,,Good Times,https://www.imdb.com/title/tt0070991/,tvSeries,7.4,30,1974,Comedy,7510,1974-02-08,
205,tt0070981,2020-09-30,2020-09-30,,Derrick,https://www.imdb.com/title/tt0070981/,tvSeries,6.6,60,1974,"Crime, Drama",1697,1974-10-20,
206,tt0071054,2020-09-30,2020-09-30,,The Six Million Dollar Man,https://www.imdb.com/title/tt0071054/,tvSeries,7.1,60,1974,"Action, Crime, Drama, Mystery, Sci-Fi",11694,1974-01-18,
207,tt0071040,2020-09-30,2020-09-30,,Rhoda,https://www.imdb.com/title/tt0071040/,tvSeries,6.8,30,1974,Comedy,2685,1974-09-09,
208,tt0071007,2020-09-30,2020-09-30,,Little House on the Prairie,https://www.imdb.com/title/tt0071007/,tvSeries,7.5,60,1974,"Drama, Family, Romance, Western",24223,1974-03-30,
209,tt0071036,2020-09-30,2020-09-30,,Porridge,https://www.imdb.com/title/tt0071036/,tvSeries,8.3,45,1974,"Comedy, Crime",6388,1974-09-05,
210,tt0071005,2020-09-30,2020-09-30,,Land of the Lost,https://www.imdb.com/title/tt0071005/,tvSeries,7.1,30,1974,"Adventure, Family, Fantasy, Sci-Fi",3007,1974-09-07,
211,tt0071034,2020-09-30,2020-09-30,,Police Woman,https://www.imdb.com/title/tt0071034/,tvSeries,6.6,120,1974,"Action, Crime, Drama",2081,1974-09-13,
212,tt0071041,2020-09-30,2020-09-30,,Rising Damp,https://www.imdb.com/title/tt0071041/,tvSeries,7.7,30,1974,Comedy,2634,1974-09-02,
213,tt0071042,2020-09-30,2020-09-30,,The Rockford Files,https://www.imdb.com/title/tt0071042/,tvSeries,8.2,50,1974,"Crime, Drama, Mystery, Thriller",9588,1974-03-27,
214,tt0159226,2020-09-30,2020-09-30,,Within These Walls,https://www.imdb.com/title/tt0159226/,tvSeries,7.7,60,1974,Drama,91,1974-01-04,
215,tt0496467,2020-09-30,2020-09-30,,Zatôichi monogatari,https://www.imdb.com/title/tt0496467/,tvSeries,7.9,45,1974,"Action, Adventure, Drama",224,1974-10-03,
216,tt0072567,2020-09-30,2020-09-30,,Starsky and Hutch,https://www.imdb.com/title/tt0072567/,tvSeries,7.0,60,1975,"Action, Crime, Drama, Mystery",9636,1975-04-30,
217,tt0072472,2020-09-30,2020-09-30,,Barney Miller,https://www.imdb.com/title/tt0072472/,tvSeries,8.3,30,1975,"Comedy, Drama",6430,1974-08-22,
218,tt0073438,2020-09-30,2020-09-30,,The Naked Civil Servant,https://www.imdb.com/title/tt0073438/,tvMovie,7.9,77,1975,"Biography, Comedy, Drama",1773,1975-12-17,Jack Gold
219,tt0072564,2020-09-30,2020-09-30,,Space: 1999,https://www.imdb.com/title/tt0072564/,tvSeries,7.3,50,1975,"Adventure, Drama, Sci-Fi",8658,1975-09-01,
220,tt0075511,2020-09-30,2020-09-30,,The Good Life,https://www.imdb.com/title/tt0075511/,tvSeries,8.0,28,1975,Comedy,3651,1975-04-04,
221,tt0074074,2020-09-30,2020-09-30,,Wonder Woman,https://www.imdb.com/title/tt0074074/,tvSeries,7.0,60,1975,"Action, Adventure, Fantasy, Sci-Fi",9044,1975-11-07,
222,tt0072562,2020-09-30,2020-09-30,,Saturday Night Live,https://www.imdb.com/title/tt0072562/,tvSeries,8.0,90,1975,"Comedy, Music",49713,1975-10-11,
223,tt0072500,2020-09-30,2020-09-30,,Fawlty Towers,https://www.imdb.com/title/tt0072500/,tvSeries,8.8,30,1975,Comedy,94579,1975-09-19,
224,tt0075560,2020-09-30,2020-09-30,,Poldark,https://www.imdb.com/title/tt0075560/,tvSeries,8.3,60,1975,"Drama, History, Romance",1124,1975-10-05,
225,tt1577766,2020-09-30,2020-09-30,,Wheel of Fortune,https://www.imdb.com/title/tt1577766/,tvSeries,6.4,60,1975,"Family, Game-Show",549,1975-01-06,
226,tt0072519,2020-09-30,2020-09-30,,The Jeffersons,https://www.imdb.com/title/tt0072519/,tvSeries,7.5,30,1975,Comedy,9797,1975-01-18,
227,tt0074006,2020-09-30,2020-09-30,,"I, Claudius",https://www.imdb.com/title/tt0074006/,tvMiniSeries,8.9,669,1976,"Biography, Drama, History",17894,1976-07-09,
228,tt0072572,2020-09-30,2020-09-30,,Survivors,https://www.imdb.com/title/tt0072572/,tvSeries,8.0,50,1975,"Drama, Sci-Fi",1319,1975-04-16,
229,tt0072471,2020-09-30,2020-09-30,,Baretta,https://www.imdb.com/title/tt0072471/,tvSeries,6.7,60,1975,"Crime, Drama, Mystery, Thriller",2627,1975-01-17,
230,tt0074016,2020-09-30,2020-09-30,,Laverne & Shirley,https://www.imdb.com/title/tt0074016/,tvSeries,6.9,30,1976,"Comedy, Family",7849,1976-01-27,
231,tt0073972,2020-09-30,2020-09-30,,Charlie's Angels,https://www.imdb.com/title/tt0073972/,tvSeries,6.5,60,1976,"Action, Adventure, Crime, Drama, Mystery",13183,1976-03-21,
232,tt0329874,2020-09-30,2020-09-30,,Loriot,https://www.imdb.com/title/tt0329874/,tvSeries,9.0,42,1976,Comedy,829,1976-03-08,
233,tt0074021,2020-09-30,2020-09-30,,"Mary Hartman, Mary Hartman",https://www.imdb.com/title/tt0074021/,tvSeries,7.9,30,1976,"Comedy, Romance",1304,1976-01-05,
234,tt0490719,2020-09-30,2020-09-30,,Domenica in,https://www.imdb.com/title/tt0490719/,tvSeries,5.1,,1976,"Music, Talk-Show",50,1976-10-03,
235,tt0073965,2020-09-30,2020-09-30,,The Bionic Woman,https://www.imdb.com/title/tt0073965/,tvSeries,6.6,60,1976,"Action, Adventure, Drama, Sci-Fi",7543,1976-01-14,
236,tt0075568,2020-09-30,2020-09-30,,Ripping Yarns,https://www.imdb.com/title/tt0075568/,tvSeries,7.9,30,1976,"Adventure, Comedy",1568,1976-01-07,
237,tt0074036,2020-09-30,2020-09-30,,Open All Hours,https://www.imdb.com/title/tt0074036/,tvSeries,7.6,30,1976,Comedy,5583,1976-02-20,
238,tt0074042,2020-09-30,2020-09-30,,Quincy M.E.,https://www.imdb.com/title/tt0074042/,tvSeries,7.2,60,1976,"Crime, Drama, Mystery, Thriller",6652,1976-10-03,
239,tt0074014,2020-09-30,2020-09-30,,The Krofft Supershow,https://www.imdb.com/title/tt0074014/,tvSeries,7.4,,1976,"Family, Fantasy, Sci-Fi",210,1976-09-11,
240,tt0074028,2020-09-30,2020-09-30,,The Muppet Show,https://www.imdb.com/title/tt0074028/,tvSeries,8.4,30,1976,"Comedy, Family, Music",25026,1976-09-05,
241,tt0133303,2020-09-30,2020-09-30,,The Gong Show,https://www.imdb.com/title/tt0133303/,tvSeries,6.9,30,1976,"Comedy, Game-Show",801,1976-06-14,
242,tt0073990,2020-09-30,2020-09-30,,The Fall and Rise of Reginald Perrin,https://www.imdb.com/title/tt0073990/,tvSeries,8.0,30,1976,Comedy,2023,1976-09-08,
243,tt0077004,2020-09-30,2020-09-30,,The Duchess of Duke Street,https://www.imdb.com/title/tt0077004/,tvSeries,8.3,50,1976,Drama,1437,1976-09-04,
244,tt0075281,2020-09-30,2020-09-30,,The Sullivans,https://www.imdb.com/title/tt0075281/,tvSeries,6.9,30,1976,Drama,483,1976-11-15,
245,tt0075220,2020-09-30,2020-09-30,,The Signalman,https://www.imdb.com/title/tt0075220/,tvMovie,7.6,38,1976,"Drama, Horror",1552,1976-12-22,Lawrence Gordon Clark
246,tt0075491,2020-09-30,2020-09-30,,Children of the Stones,https://www.imdb.com/title/tt0075491/,tvMiniSeries,7.6,30,1977,"Drama, Family, Fantasy, Horror, Mystery, Sci-Fi",779,1977-01-10,
247,tt0075572,2020-09-30,2020-09-30,,Roots,https://www.imdb.com/title/tt0075572/,tvMiniSeries,8.4,588,1977,"Biography, Drama, History, War",17845,1977-01-23,
248,tt0075528,2020-09-30,2020-09-30,,Lou Grant,https://www.imdb.com/title/tt0075528/,tvSeries,7.3,60,1977,"Crime, Drama",2206,1977-09-20,
249,tt0075492,2020-09-30,2020-09-30,,Citizen Smith,https://www.imdb.com/title/tt0075492/,tvSeries,7.0,30,1977,Comedy,1024,1977-04-12,
250,tt0075622,2020-09-30,2020-09-30,,Play for Today: Abigail's Party,https://www.imdb.com/title/tt0075622/,tvEpisode,7.9,102,1977,"Comedy, Drama",2188,1977-11-01,Mike Leigh
251,tt0324694,2020-09-30,2020-09-30,,Auf los geht's los,https://www.imdb.com/title/tt0324694/,tvSeries,6.5,,1977,Game-Show,51,1977-01-15,
252,tt0075567,2020-09-30,2020-09-30,,The Richard Pryor Show,https://www.imdb.com/title/tt0075567/,tvSeries,7.6,60,1977,Comedy,426,1977-09-13,
253,tt0075579,2020-09-30,2020-09-30,,Secret Army,https://www.imdb.com/title/tt0075579/,tvSeries,8.6,50,1977,"Drama, History, War",1486,1977-09-07,
254,tt0075596,2020-09-30,2020-09-30,,Three's Company,https://www.imdb.com/title/tt0075596/,tvSeries,7.5,30,1976,Comedy,15451,1977-03-15,
255,tt0075488,2020-09-30,2020-09-30,,CHiPs,https://www.imdb.com/title/tt0075488/,tvSeries,6.4,60,1977,"Crime, Drama, Mystery",10326,1977-09-15,
256,tt0075529,2020-09-30,2020-09-30,,The Love Boat,https://www.imdb.com/title/tt0075529/,tvSeries,6.2,60,1977,"Comedy, Drama, Romance",12151,1977-05-05,
257,tt0075525,2020-09-30,2020-09-30,,The Life and Times of Grizzly Adams,https://www.imdb.com/title/tt0075525/,tvSeries,7.5,60,1977,"Adventure, Family, Western",1611,1977-02-09,
258,tt0075584,2020-09-30,2020-09-30,,Soap,https://www.imdb.com/title/tt0075584/,tvSeries,8.2,30,1977,"Comedy, Drama, Romance",7493,1977-09-13,
259,tt0075520,2020-09-30,2020-09-30,,Jesus of Nazareth,https://www.imdb.com/title/tt0075520/,tvMiniSeries,8.5,382,1977,"Biography, Drama, History",22922,1977-03-27,
260,tt0077008,2020-09-30,2020-09-30,,Fantasy Island,https://www.imdb.com/title/tt0077008/,tvSeries,6.5,60,1977,"Adventure, Family, Fantasy, Romance",8306,1977-01-14,
261,tt0075561,2020-09-30,2020-09-30,,The Professionals,https://www.imdb.com/title/tt0075561/,tvSeries,8.0,,1977,"Action, Comedy, Crime",3313,1977-12-30,
262,tt0077003,2020-09-30,2020-09-30,,Diff'rent Strokes,https://www.imdb.com/title/tt0077003/,tvSeries,6.6,30,1978,"Comedy, Drama, Family",11659,1978-11-03,
263,tt0078659,2020-09-30,2020-09-30,,Saiyûki,https://www.imdb.com/title/tt0078659/,tvSeries,8.4,,1978,"Action, Family, Adventure, Comedy, Fantasy",1874,1978-10-01,
264,tt0075512,2020-09-30,2020-09-30,,Grange Hill,https://www.imdb.com/title/tt0075512/,tvSeries,7.1,30,1978,"Comedy, Drama, Family",1512,1978-02-08,
265,tt0076987,2020-09-30,2020-09-30,,Blake's 7,https://www.imdb.com/title/tt0076987/,tvSeries,8.1,50,1978,"Adventure, Drama, Sci-Fi",4142,1978-01-02,
266,tt0075472,2020-09-30,2020-09-30,,All Creatures Great & Small,https://www.imdb.com/title/tt0075472/,tvSeries,8.4,50,1978,"Comedy, Drama",3880,1978-01-08,
267,tt0077036,2020-09-30,2020-09-30,,The Kenny Everett Video Show,https://www.imdb.com/title/tt0077036/,tvSeries,7.7,30,1978,"Comedy, Music",237,1978-07-03,
268,tt0077000,2020-09-30,2020-09-30,,Dallas,https://www.imdb.com/title/tt0077000/,tvSeries,7.1,60,1978,"Drama, Romance",15305,1978-04-02,
269,tt0077053,2020-09-30,2020-09-30,,Mork & Mindy,https://www.imdb.com/title/tt0077053/,tvSeries,7.1,30,1978,"Comedy, Family, Sci-Fi",11721,1978-09-14,
270,tt0077089,2020-09-30,2020-09-30,,Taxi,https://www.imdb.com/title/tt0077089/,tvSeries,7.7,30,1978,Comedy,14244,1978-09-12,
271,tt0077025,2020-09-30,2020-09-30,,Holocaust,https://www.imdb.com/title/tt0077025/,tvMiniSeries,8.0,475,1978,"Drama, History, Romance, War",5154,1978-04-16,
272,tt0077051,2020-09-30,2020-09-30,,Matador,https://www.imdb.com/title/tt0077051/,tvSeries,9.3,67,1978,Drama,4921,1978-11-11,
273,tt0077078,2020-09-30,2020-09-30,,The Sandbaggers,https://www.imdb.com/title/tt0077078/,tvSeries,8.8,60,1978,Thriller,820,1978-09-18,
274,tt0078680,2020-09-30,2020-09-30,,Rumpole of the Bailey,https://www.imdb.com/title/tt0078680/,tvSeries,8.4,60,1978,"Crime, Drama, Mystery",1505,1978-04-03,
275,tt0077060,2020-09-30,2020-09-30,,Pennies from Heaven,https://www.imdb.com/title/tt0077060/,tvMiniSeries,8.4,450,1978,"Drama, Musical, Romance",1168,1978-03-07,
276,tt0077097,2020-09-30,2020-09-30,,WKRP in Cincinnati,https://www.imdb.com/title/tt0077097/,tvSeries,8.0,30,1978,Comedy,10241,1978-09-18,
277,tt0077031,2020-09-30,2020-09-30,,The Incredible Hulk,https://www.imdb.com/title/tt0077031/,tvSeries,7.0,60,1977,"Action, Adventure, Drama, Sci-Fi",14593,1977-11-04,
278,tt0081838,2020-09-30,2020-09-30,,Butterflies,https://www.imdb.com/title/tt0081838/,tvSeries,6.9,30,1978,"Comedy, Romance",1233,1978-11-10,
279,tt0079844,2020-09-30,2020-09-30,,Salem's Lot,https://www.imdb.com/title/tt0079844/,tvMiniSeries,6.7,200,1979,Horror,25274,1979-11-17,
280,tt0078607,2020-09-30,2020-09-30,,The Dukes of Hazzard,https://www.imdb.com/title/tt0078607/,tvSeries,7.1,60,1979,"Action, Comedy",14132,1979-01-26,
281,tt0135095,2020-09-30,2020-09-30,,Life on Earth,https://www.imdb.com/title/tt0135095/,tvMiniSeries,9.1,702,1979,Documentary,3093,1979-01-16,
282,tt0078690,2020-09-30,2020-09-30,,Shoestring,https://www.imdb.com/title/tt0078690/,tvSeries,7.5,50,1979,Drama,399,1979-09-30,
283,tt0077064,2020-09-30,2020-09-30,,Prisoner,https://www.imdb.com/title/tt0077064/,tvSeries,8.1,50,1979,"Crime, Drama",2027,1979-02-26,
284,tt0080253,2020-09-30,2020-09-30,,Not the Nine O'Clock News,https://www.imdb.com/title/tt0080253/,tvSeries,7.9,25,1979,Comedy,2615,1979-10-16,
285,tt0078610,2020-09-30,2020-09-30,,The Facts of Life,https://www.imdb.com/title/tt0078610/,tvSeries,6.8,30,1979,"Comedy, Family",7847,1979-08-24,
286,tt0078657,2020-09-30,2020-09-30,,Minder,https://www.imdb.com/title/tt0078657/,tvSeries,7.8,60,1979,"Comedy, Crime, Drama",2563,1979-10-29,
287,tt0080297,2020-09-30,2020-09-30,,Tinker Tailor Soldier Spy,https://www.imdb.com/title/tt0080297/,tvMiniSeries,8.5,290,1979,"Drama, Mystery, Thriller",8924,1979-09-10,
288,tt0078682,2020-09-30,2020-09-30,,Sapphire & Steel,https://www.imdb.com/title/tt0078682/,tvSeries,7.9,30,1979,"Mystery, Sci-Fi, Thriller",1665,1979-07-10,
289,tt0078703,2020-09-30,2020-09-30,,To the Manor Born,https://www.imdb.com/title/tt0078703/,tvSeries,7.4,30,1979,"Comedy, Romance",2465,1979-09-30,
290,tt0077278,2020-09-30,2020-09-30,,Buck Rogers in the 25th Century,https://www.imdb.com/title/tt0077278/,movie,6.5,89,1979,"Action, Adventure, Sci-Fi",6388,1979-03-30,Daniel Haller
291,tt0078622,2020-09-30,2020-09-30,,Hart to Hart,https://www.imdb.com/title/tt0078622/,tvSeries,6.6,60,1979,"Action, Adventure, Crime, Mystery, Romance",8047,1979-08-25,
292,tt0080196,2020-09-30,2020-09-30,,Berlin Alexanderplatz,https://www.imdb.com/title/tt0080196/,tvMiniSeries,8.4,931,1980,"Crime, Drama",4629,1980-08-28,
293,tt0080306,2020-09-30,2020-09-30,,Yes Minister,https://www.imdb.com/title/tt0080306/,tvSeries,8.7,30,1980,Comedy,15204,1980-02-25,
294,tt0086831,2020-09-30,2020-09-30,,"Yes, Prime Minister",https://www.imdb.com/title/tt0086831/,tvSeries,8.6,30,1986,Comedy,11856,1986-01-09,
295,tt0080234,2020-09-30,2020-09-30,,Juliet Bravo,https://www.imdb.com/title/tt0080234/,tvSeries,6.7,50,1980,"Crime, Drama, Mystery",263,1980-08-30,
296,tt0123349,2020-09-30,2020-09-30,,Hi-de-Hi!,https://www.imdb.com/title/tt0123349/,tvSeries,6.6,60,1980,Comedy,1713,1980-01-01,
297,tt0080274,2020-09-30,2020-09-30,,Shogun,https://www.imdb.com/title/tt0080274/,tvMiniSeries,8.1,547,1980,"Adventure, Drama, History, War",12870,1980-09-15,
298,tt0080240,2020-09-30,2020-09-30,,"Magnum, P.I.",https://www.imdb.com/title/tt0080240/,tvSeries,7.5,48,1980,"Action, Adventure, Crime, Drama, Mystery",26493,1980-12-11,
299,tt0080301,2020-09-30,2020-09-30,,Verstehen Sie Spaß?,https://www.imdb.com/title/tt0080301/,tvSeries,5.2,120,1980,"Comedy, Reality-TV",234,1980-01-31,
300,tt0081846,2020-09-30,2020-09-30,,Cosmos,https://www.imdb.com/title/tt0081846/,tvMiniSeries,9.3,780,1980,Documentary,41585,1980-09-28,
301,tt0081949,2020-09-30,2020-09-30,,A Town Like Alice,https://www.imdb.com/title/tt0081949/,tvMiniSeries,8.3,301,1981,"Drama, Romance, War",980,1981-05-04,
302,tt0081856,2020-09-30,2020-09-30,,Dynasty,https://www.imdb.com/title/tt0081856/,tvSeries,6.3,60,1981,"Drama, Romance",7648,1981-01-12,
303,tt0081831,2020-09-30,2020-09-30,,Bergerac,https://www.imdb.com/title/tt0081831/,tvSeries,6.8,90,1981,"Crime, Drama, Mystery",1988,1981-10-17,
304,tt0083390,2020-09-30,2020-09-30,,Brideshead Revisited,https://www.imdb.com/title/tt0083390/,tvMiniSeries,8.6,659,1981,"Drama, Romance",7529,1981-10-12,
305,tt0081835,2020-09-30,2020-09-30,,The Borgias,https://www.imdb.com/title/tt0081835/,tvMiniSeries,7.4,50,1981,"Biography, Drama, History",186,1981-10-14,
306,tt0081873,2020-09-30,2020-09-30,,Hill Street Blues,https://www.imdb.com/title/tt0081873/,tvSeries,8.2,60,1981,"Crime, Drama, Mystery",9421,1981-01-15,
307,tt0081912,2020-09-30,2020-09-30,,Only Fools and Horses....,https://www.imdb.com/title/tt0081912/,tvSeries,9.0,95,1981,Comedy,52796,1981-09-08,
308,tt0207932,2020-09-30,2020-09-30,,Das Traumschiff,https://www.imdb.com/title/tt0207932/,tvSeries,4.0,60,1981,"Drama, Romance",556,1981-11-22,
309,tt0081859,2020-09-30,2020-09-30,,The Fall Guy,https://www.imdb.com/title/tt0081859/,tvSeries,7.0,60,1981,"Action, Adventure, Comedy",7982,1981-11-04,
310,tt0081961,2020-09-30,2020-09-30,,"Wetten, dass..?",https://www.imdb.com/title/tt0081961/,tvSeries,6.0,165,1981,"Comedy, Game-Show, Music",1232,1981-02-14,
311,tt0081840,2020-09-30,2020-09-30,,The Chinese Detective,https://www.imdb.com/title/tt0081840/,tvSeries,7.4,50,1981,"Crime, Drama",117,1981-04-30,
312,tt0081850,2020-09-30,2020-09-30,,The Day of the Triffids,https://www.imdb.com/title/tt0081850/,tvMiniSeries,7.3,50,1981,"Horror, Sci-Fi, Thriller",2306,1981-09-10,
313,tt0081944,2020-09-30,2020-09-30,,Tenko,https://www.imdb.com/title/tt0081944/,tvSeries,8.5,50,1981,"Drama, War",767,1981-10-22,
314,tt0081874,2020-09-30,2020-09-30,,The Hitchhiker's Guide to the Galaxy,https://www.imdb.com/title/tt0081874/,tvSeries,8.0,152,1981,"Adventure, Comedy, Sci-Fi",11214,1981-01-05,
